App_Name
airbnb
amazon
amtrak
ancestry
apple
discord
ebook
eventbrite
evernote
facebook
google
food-delivery
intel
linkedin
lyft
eventbrite
microsoft
netflix
patreon
pay-toilets
skype
slack
spotify
ticketmaster
twitter
uber
wendys
whatsapp
zoom
